MT    41
1  1  -1.461  0.743  
34
194.14919 1.2116e-02 -2.2805e-02 1.4513e-01 -3.3477e-01 -1.3757e-01 3.8266e-01 -3.6389e-02 7.8145e-02 2.1327e-02 2.1327e-02 1.2132e-02 1.2132e-02 1.0896e-02 1.0896e-02 1.0896e-02 1.0896e-02 
131.41474 6.0881e-03 -1.8893e-02 1.0619e-01 -2.4473e-01 -1.0132e-01 2.7735e-01 -2.6998e-02 5.8818e-02 9.6063e-03 9.6063e-03 6.7975e-03 6.7975e-03 5.6133e-03 5.6133e-03 5.5295e-03 5.5295e-03 
88.95135 3.6766e-03 -1.5805e-02 8.0779e-02 -1.8192e-01 -7.6575e-02 1.9903e-01 -2.0510e-02 4.2271e-02 2.1266e-02 2.1266e-02 1.4030e-02 1.4030e-02 1.1314e-02 1.1314e-02 1.1314e-02 1.1314e-02 
60.20894 2.1040e-03 -1.1196e-02 6.3460e-02 -1.3278e-01 -6.2264e-02 1.4433e-01 -1.6595e-02 3.2254e-02 1.5113e-02 1.5113e-02 1.0575e-02 1.0575e-02 9.4642e-03 9.4642e-03 9.4642e-03 9.4642e-03 
40.75393 1.2423e-03 -8.6107e-03 5.0629e-02 -9.5613e-02 -5.1737e-02 1.0420e-01 -1.3171e-02 2.5994e-02 9.1135e-03 9.1135e-03 8.3483e-03 8.3483e-03 6.2703e-03 6.2703e-03 6.2703e-03 6.2703e-03 
27.58532 6.7502e-04 -7.0615e-03 4.3502e-02 -6.9220e-02 -4.4188e-02 7.6309e-02 -9.7016e-03 2.1215e-02 7.4542e-03 7.4542e-03 7.2337e-03 7.2337e-03 5.2171e-03 5.2171e-03 5.2171e-03 5.2171e-03 
18.67181 -4.1755e-04 -5.9744e-03 3.8529e-02 -5.0744e-02 -3.8106e-02 5.5923e-02 -5.7760e-03 1.6653e-02 5.8379e-03 5.8379e-03 6.6056e-03 6.6056e-03 3.9718e-03 3.9718e-03 3.9718e-03 3.9718e-03 
12.63848 -1.6475e-03 -4.6066e-03 3.4514e-02 -3.9206e-02 -3.2845e-02 4.2500e-02 -2.2371e-03 1.2585e-02 2.2880e-03 2.2880e-03 2.6068e-03 2.6068e-03 1.4241e-03 1.4241e-03 1.4241e-03 1.4241e-03 
8.55467 -2.4159e-03 -3.7902e-03 3.0221e-02 -3.2328e-02 -2.8702e-02 3.3702e-02 -3.6148e-04 8.1667e-03 3.1889e-03 3.1889e-03 3.5351e-03 3.5351e-03 1.5325e-03 1.5325e-03 1.5325e-03 1.5325e-03 
5.79044 -2.4652e-03 -2.7162e-03 2.5531e-02 -2.7266e-02 -2.5209e-02 2.8364e-02 2.1822e-04 5.0197e-03 4.2822e-03 4.2822e-03 3.8248e-03 3.8248e-03 1.7989e-03 1.7989e-03 1.7989e-03 1.7989e-03 
3.91941 -3.2258e-03 -9.4510e-04 1.9920e-02 -2.1794e-02 -1.9873e-02 2.2737e-02 1.0733e-05 1.8891e-03 3.9083e-03 3.9083e-03 2.7357e-03 2.7357e-03 1.6297e-03 1.6297e-03 1.6297e-03 1.6297e-03 
2.65295 -3.2044e-03 2.1549e-04 1.5809e-02 -1.7375e-02 -1.5129e-02 1.8998e-02 -1.0389e-03 5.0624e-04 2.8482e-03 2.8482e-03 2.0424e-03 2.0424e-03 1.2764e-03 1.2764e-03 1.2764e-03 1.2764e-03 
1.79571 -2.7309e-03 9.0947e-04 1.2722e-02 -1.3847e-02 -1.1086e-02 1.5560e-02 -1.8459e-03 2.0691e-04 1.4683e-03 1.4683e-03 1.1252e-03 1.1252e-03 7.3905e-04 7.3905e-04 7.3905e-04 7.3905e-04 
1.21547 -2.0462e-03 1.2942e-03 1.0476e-02 -1.1066e-02 -8.1315e-03 1.2292e-02 -2.1194e-03 4.1079e-04 1.3792e-03 1.3792e-03 1.0336e-03 1.0336e-03 6.5671e-04 6.5671e-04 6.5671e-04 6.5671e-04 
0.82272 -1.5094e-03 1.3630e-03 8.7640e-03 -8.7800e-03 -6.2638e-03 9.4927e-03 -2.0444e-03 6.3972e-04 1.1502e-03 1.1502e-03 8.4385e-04 8.4385e-04 5.7350e-04 5.7350e-04 5.7350e-04 5.7350e-04 
0.55688 -1.2060e-03 1.1176e-03 7.4839e-03 -7.0534e-03 -5.0925e-03 7.2786e-03 -1.9158e-03 7.4964e-04 9.2990e-04 9.2990e-04 6.6638e-04 6.6638e-04 4.7524e-04 4.7524e-04 4.7524e-04 4.7524e-04 
0.37694 -9.4618e-04 7.8756e-04 6.4425e-03 -5.6609e-03 -4.2571e-03 5.5702e-03 -1.6844e-03 8.0719e-04 8.8195e-04 8.8195e-04 5.7917e-04 5.7917e-04 4.6321e-04 4.6321e-04 4.6321e-04 4.6321e-04 
0.25514 -7.6345e-04 5.2054e-04 5.5759e-03 -4.5624e-03 -3.5264e-03 4.2123e-03 -1.3851e-03 8.1890e-04 9.3886e-04 9.3886e-04 6.0037e-04 6.0037e-04 4.9060e-04 4.9060e-04 4.9060e-04 4.9060e-04 
0.17270 -6.2423e-04 3.1523e-04 4.8181e-03 -3.7498e-03 -2.7728e-03 3.0614e-03 -1.0967e-03 8.6765e-04 6.7715e-04 6.7715e-04 4.8490e-04 4.8490e-04 3.4692e-04 3.4692e-04 3.4692e-04 3.4692e-04 
0.11689 -5.9609e-04 2.4765e-04 4.0904e-03 -3.2013e-03 -2.1757e-03 2.3157e-03 -7.1674e-04 8.2099e-04 4.8163e-04 4.8163e-04 4.0990e-04 4.0990e-04 2.7313e-04 2.7313e-04 2.7313e-04 2.7313e-04 
0.07912 -5.8880e-04 2.5190e-04 3.4007e-03 -2.7647e-03 -1.8877e-03 1.9801e-03 -4.0570e-04 6.6392e-04 3.6760e-04 3.6760e-04 4.3894e-04 4.3894e-04 2.1729e-04 2.1729e-04 2.1729e-04 2.1729e-04 
0.05356 -5.5619e-04 2.5552e-04 2.8727e-03 -2.4812e-03 -1.6884e-03 1.8000e-03 -3.7688e-04 4.6654e-04 2.6353e-04 2.6353e-04 4.3038e-04 4.3038e-04 1.6971e-04 1.6971e-04 1.6971e-04 1.6971e-04 
