        41
         1      -0.490116      -0.036146      -0.120060      -0.494754         0
         2      -0.190814      -0.249039      -0.349041       0.065769         0
         3      -0.419317       0.119819      -0.016914      -0.427074         0
         4      -0.537119      -0.031104       0.032846      -0.595993         0
         5      -0.168016      -0.011342      -0.016303      -0.330183         0
         6      -0.272763       0.032286       0.102747       0.205925         0
         7      -0.459336       0.088425       0.036246      -0.554505         0
         8       0.250935       0.007640      -0.089836       1.022162         0
         9      -0.396882       0.079671       0.067091      -0.557710         0
        10      -0.077438       0.319790       0.069778      -0.152331         0
        11      -0.229831       0.093358       0.072722       0.917346         0
        12       0.625752       0.075969       0.093788       0.673775         0
        13      -0.201173       0.079609       0.051408      -0.026238         0
        14      -0.092534       0.066400       0.088234      -0.121519         0
        15       0.601314       0.012299      -0.030866       0.433894         0
        16       0.685364      -0.092306       0.201547       0.262221         0
        17       0.526028       0.019351      -0.162966      -0.319555         0
        18      -0.478804      -0.003640      -0.023247      -0.580013         0
        19      -0.404843       0.137212      -0.108524       0.205337         0
        20      -0.122617      -0.109915      -0.108209      -0.096425         0
        21      -0.318159      -0.040162       0.018105       0.062457         0
        22       0.689021       0.220355      -0.484787       0.345140         0
        23      -0.317399      -0.063384      -0.066186      -0.504618         0
        24      -0.385203       0.060584       0.135215      -0.769674         0
        25      -0.138035       0.278488       0.262806      -0.151335         0
        26      -0.129895       0.062748      -0.051288       0.149912         0
        27      -0.385053       0.004835      -0.022417      -0.424672         0
        28       0.175070      -0.172731      -0.080842      -0.098981         0
        29       0.060411      -0.008672      -0.105431      -0.144980         0
        30       0.407490       0.219647       0.175014       0.794281         0
        31      -0.280645      -0.110203       0.044174      -0.495117         0
        32      -0.620562      -0.017629      -0.036166      -0.612872         0
        33      -0.549016      -0.005780       0.029443      -0.359776         0
        34       0.090235      -0.017340       0.117647      -0.069055         0
        35      -0.299045      -0.055112       0.122683      -0.310708         0
        36       0.797558      -0.332419      -0.131657       1.088587         0
        37      -0.584175       0.030872      -0.011967      -0.794440         0
        38      -0.198853      -0.068657      -0.013579      -0.460946         0
        39      -0.091653       0.068918       0.025328       0.722472         0
        40      -0.260231       0.081593       0.060023      -0.380659         0
        41       0.105132      -0.384076      -0.166610      -0.242003         0
