        42
         1       0.381832       0.081580      -0.137650       0.118484         0
         2      -0.042934      -0.145320      -0.271147       0.128181         0
         3       0.176770       0.249633       0.085624       0.078536         0
         4       0.631758       0.118340       0.050833       0.304661         0
         5      -0.033742       0.115763       0.198018       0.402678         0
         6       0.400417       0.131807       0.036332       0.201704         0
         7       2.859279       0.077991      -0.316273       3.526219         0
         8       0.678275      -1.015587      -1.365643       0.828480         0
         9       0.059511      -0.033691      -0.179489       1.157765         0
        10       1.268613      -0.148011      -1.169586       0.323354         0
        11       1.417438      -0.037093       0.084212       2.212070         0
        12      -0.222093      -0.014808      -0.006465      -0.162634         0
        13       0.414495      -0.099911      -0.323346       0.060774         0
        14       0.411063       0.084112       0.096868       0.030855         0
        15       0.161864       0.193034      -0.088144       0.235888         0
        16       0.105843       0.151197       0.190588       0.083568         0
        17       9.681884      -0.833979      -2.189574       4.506140         0
        18       0.579658       0.125672       0.063342       0.726315         0
        19       0.628453       0.180231      -0.068335       1.363463         0
        20       0.334208       0.076377       0.028255       0.240000         0
        21      -0.823225       0.760480       0.254805      -0.528792         0
        22       0.771913      -0.295394      -0.057594       0.280894         0
        23      -0.100709      -0.061817      -0.012012      -0.663950         0
        24       0.705995      -0.259007      -0.073303       1.806523         0
        25      17.316712       4.075360       1.449168      10.638177         0
        26       3.719167       0.028139       0.428681       3.761173         0
        27       3.824266       0.336388      -0.789147       4.527713         0
        28       0.862611      -0.187449       0.034460       0.425935         0
        29       1.220669       0.166858       0.240059       1.045871         0
        30       4.814636       0.047399       2.008168       3.248267         0
        31       2.424618       0.224476       0.784336       3.668014         0
        32       3.183303      -0.017826       0.222783       2.529346         0
        33       3.595008       0.160556       1.351362       2.204469         0
        34       5.757871      -1.138994       0.499716       4.079945         0
        35       1.206419      -0.823197      -0.674335       1.760881         0
        36       4.917544       0.794631       0.099063       6.688343         0
        37       0.735699      -0.316730      -0.321602      -0.536039         0
        38       0.056500      -0.365402      -0.354608       0.150093         0
        39      -0.138381      -0.077441      -0.062122      -0.029770         0
        40       0.143989      -0.189429      -0.033870       0.079690         0
        41       0.583407      -0.008479      -0.042133      -0.057370         0
        42       0.439062      -0.204137      -1.025213      -0.060024         0
