MT    42
1  1  -2.671  19.713  
31
40.75393 -2.6852e-02 4.3387e-02 5.4745e-02 -1.4801e-01 -5.4030e-02 1.1548e-01 7.5851e-03 -6.4711e-03 6.2814e-03 6.2814e-03 5.6738e-03 5.6738e-03 5.6738e-03 5.6738e-03 2.4957e-03 2.4957e-03 
27.58532 -2.0231e-02 3.3283e-02 3.8335e-02 -1.0773e-01 -3.9238e-02 8.5470e-02 5.9710e-03 -5.5871e-03 4.6716e-03 4.6716e-03 4.1481e-03 4.1481e-03 4.1481e-03 4.1481e-03 1.9412e-03 1.9412e-03 
18.67181 -1.5462e-02 2.5854e-02 2.8549e-02 -7.9439e-02 -2.9840e-02 6.4079e-02 4.7366e-03 -4.7069e-03 3.5299e-03 3.5299e-03 3.0898e-03 3.0898e-03 3.0898e-03 3.0898e-03 1.5208e-03 1.5208e-03 
12.63848 -1.1423e-02 1.9294e-02 2.1531e-02 -5.5552e-02 -2.2638e-02 4.5687e-02 3.5478e-03 -3.8984e-03 2.5584e-03 2.5584e-03 2.2046e-03 2.2046e-03 2.2046e-03 2.2046e-03 1.1476e-03 1.1476e-03 
8.55467 -8.8142e-03 1.4043e-02 1.7790e-02 -3.8973e-02 -1.8315e-02 3.2573e-02 2.5508e-03 -3.1689e-03 1.8656e-03 1.8656e-03 1.6005e-03 1.6005e-03 1.6005e-03 1.6005e-03 8.6307e-04 8.6307e-04 
5.79044 -7.2500e-03 9.9385e-03 1.5954e-02 -2.8025e-02 -1.5881e-02 2.3656e-02 1.8024e-03 -2.4441e-03 1.3942e-03 1.3942e-03 1.2125e-03 1.2125e-03 1.2125e-03 1.2125e-03 6.5113e-04 6.5113e-04 
3.91941 -5.8364e-03 6.4982e-03 1.4776e-02 -1.9322e-02 -1.4139e-02 1.6457e-02 1.3219e-03 -1.2080e-03 1.0203e-03 1.0203e-03 9.1893e-04 9.1893e-04 9.1893e-04 9.1893e-04 4.3633e-04 4.3633e-04 
2.65295 -5.5768e-03 4.1266e-03 1.4093e-02 -1.3748e-02 -1.3126e-02 1.1778e-02 1.3264e-03 -1.4434e-04 8.1810e-04 8.1810e-04 7.4535e-04 7.4535e-04 7.4535e-04 7.4535e-04 3.3955e-04 3.3955e-04 
1.79571 -5.5756e-03 2.5380e-03 1.3651e-02 -1.0283e-02 -1.2525e-02 8.8158e-03 1.7364e-03 5.5858e-04 7.1625e-04 7.1625e-04 6.4716e-04 6.4716e-04 6.4716e-04 6.4716e-04 3.6999e-04 3.6999e-04 
1.21547 -5.9342e-03 1.2164e-03 1.3207e-02 -7.6673e-03 -1.2058e-02 6.5332e-03 2.4035e-03 9.4884e-04 6.7327e-04 6.7327e-04 5.7888e-04 5.7888e-04 5.7888e-04 5.7888e-04 4.1671e-04 4.1671e-04 
0.82272 -6.3744e-03 6.0285e-04 1.2637e-02 -6.3415e-03 -1.1615e-02 5.2431e-03 2.9903e-03 9.0304e-04 6.6603e-04 6.6603e-04 5.3692e-04 5.3692e-04 5.3692e-04 5.3692e-04 4.4164e-04 4.4164e-04 
0.55688 -6.7771e-03 4.0537e-04 1.1819e-02 -5.7160e-03 -1.1117e-02 4.5504e-03 3.3824e-03 5.3224e-04 6.6086e-04 6.6086e-04 5.0232e-04 5.0232e-04 5.0232e-04 5.0232e-04 4.4893e-04 4.4893e-04 
0.37694 -7.1225e-03 4.3110e-04 1.0575e-02 -5.4265e-03 -1.0399e-02 4.1232e-03 3.5838e-03 8.6915e-05 6.4465e-04 6.4465e-04 4.6123e-04 4.6123e-04 4.6123e-04 4.6123e-04 4.4328e-04 4.4328e-04 
0.25514 -7.0609e-03 6.6160e-04 9.1857e-03 -5.2049e-03 -9.5770e-03 3.9954e-03 3.5037e-03 -3.4276e-04 6.0571e-04 6.0571e-04 4.1868e-04 4.1868e-04 4.1868e-04 4.1868e-04 4.2309e-04 4.2309e-04 
0.17270 -6.7175e-03 1.2657e-03 7.7191e-03 -4.9781e-03 -8.6480e-03 3.9669e-03 3.1526e-03 -7.0201e-04 5.5467e-04 5.5467e-04 3.7393e-04 3.7393e-04 3.7393e-04 3.7393e-04 3.8804e-04 3.8804e-04 
0.11689 -6.2965e-03 1.8985e-03 6.2782e-03 -4.5976e-03 -7.6242e-03 3.9785e-03 2.6157e-03 -9.6617e-04 5.0076e-04 5.0076e-04 3.2722e-04 3.2722e-04 3.2722e-04 3.2722e-04 3.4279e-04 3.4279e-04 
0.07912 -5.8671e-03 2.3987e-03 5.1834e-03 -4.1818e-03 -6.6522e-03 3.9609e-03 2.3125e-03 -1.0368e-03 4.5481e-04 4.5481e-04 2.8723e-04 2.8723e-04 2.8723e-04 2.8723e-04 3.1007e-04 3.1007e-04 
0.05356 -5.3318e-03 2.7160e-03 4.3071e-03 -3.7380e-03 -5.6882e-03 3.8883e-03 2.0954e-03 -1.0680e-03 4.0892e-04 4.0892e-04 2.5074e-04 2.5074e-04 2.5074e-04 2.5074e-04 2.8179e-04 2.8179e-04 
0.03625 -4.3467e-03 2.8777e-03 3.5137e-03 -3.2779e-03 -4.6536e-03 3.6754e-03 1.8066e-03 -1.1208e-03 3.5035e-04 3.5035e-04 2.1352e-04 2.1352e-04 2.1352e-04 2.1352e-04 2.4854e-04 2.4854e-04 
0.02454 -3.4521e-03 2.7970e-03 2.8771e-03 -2.8771e-03 -3.7621e-03 3.3588e-03 1.4790e-03 -1.1089e-03 2.9763e-04 2.9763e-04 1.8120e-04 1.8120e-04 1.8120e-04 1.8120e-04 2.1373e-04 2.1373e-04 
0.01661 -2.6618e-03 2.5506e-03 2.3251e-03 -2.5039e-03 -2.9792e-03 2.9368e-03 1.1406e-03 -1.0606e-03 2.4844e-04 2.4844e-04 1.5123e-04 1.5123e-04 1.5123e-04 1.5123e-04 1.7868e-04 1.7868e-04 
0.01124 -1.9773e-03 2.1995e-03 1.7941e-03 -2.1248e-03 -2.2691e-03 2.4437e-03 8.3237e-04 -9.7436e-04 2.0075e-04 2.0075e-04 1.2181e-04 1.2181e-04 1.2181e-04 1.2181e-04 1.4471e-04 1.4471e-04 
